n,input_graph6,output_graph6,case,move,N_old,R_old,N_new,R_new,cross_score,mean_gain
17,PhCP?C__??_@?A?A?@??O?C?,PhCP@?__??_@?A?A?@??O?C?,leaf_degree_two,pendant_path_fold,2319,23531,3008,30938,963974,481987/3487776
17,PhCP?C__??_@?A?A?@??O_??,PhCP@?__??_@?A?A?@??O_??,leaf_degree_two,pendant_path_fold,2318,23571,3017,31049,857875,857875/6993406
17,PhCP?C__??_@?A?A?@??_??C,PhCP@?__??_@?A?A?@??_??C,leaf_degree_two,pendant_path_fold,1809,18138,2348,23860,574716,47893/353961
17,PhCP?C__??_@?A?A?@??_?C?,PhCP@?__??_@?A?A?@??_?C?,leaf_degree_two,pendant_path_fold,2369,24004,3078,31583,935815,935815/7291782
17,PhCP?C__??_@?A?A?@??__??,PhCP@?__??_@?A?A?@??__??,leaf_degree_two,pendant_path_fold,2367,24041,3086,31691,822071,822071/7304562
17,PhCP?C__??_@?A?A?@C????C,PhCP@?__??_@?A?A?@C????C,leaf_degree_two,pendant_path_fold,1839,18425,2398,24299,502711,45701/400902
17,PhCP?C__??_@?A?A?@C??_??,PhCP@?__??_@?A?A?@C??_??,leaf_degree_two,pendant_path_fold,2414,24427,3153,32229,782475,260825/2537114
17,PhCP?C__??_@?A?A?A??@??G,PhCP@?__??_@?A?A?A??@??G,leaf_degree_two,pendant_path_fold,1605,16042,2084,21108,446812,111703/836205
17,PhCP?C__??_@?A?A?A??@?C?,PhCP@?__??_@?A?A?A??@?C?,leaf_degree_two,pendant_path_fold,1900,18965,2469,24960,599415,39961/312740
17,PhCP?C__??_@?A?A?A??@_??,PhCP@?__??_@?A?A?A??@_??,leaf_degree_two,pendant_path_fold,1905,19042,2484,25108,530412,44201/394335
17,PhCP?C__??_@?A?A?A??_?C?,PhCP@?__??_@?A?A?A??_?C?,leaf_degree_two,pendant_path_fold,2493,25116,3242,33059,990015,330005/2694102
17,PhCP?C__??_@?A?A?A??__??,PhCP@?__??_@?A?A?A??__??,leaf_degree_two,pendant_path_fold,2489,25146,3248,33160,861032,107629/1010534
17,PhCP?C__??_@?A?A?AC????C,PhCP@?__??_@?A?A?AC????C,leaf_degree_two,pendant_path_fold,1928,19245,2517,25392,516111,172037/1617592
17,PhCP?C__??_@?A?A?AC??_??,PhCP@?__??_@?A?A?AC??_??,leaf_degree_two,pendant_path_fold,2535,25529,3314,33695,813719,813719/8400990
17,PhCP?C__??_@?A?AO???@??C,PhCP@?__??_@?A?AO???@??C,leaf_degree_two,pendant_path_fold,1377,13426,1796,17716,281836,70459/618273
17,PhCP?C__??_@?A?AO???@??G,PhCP@?__??_@?A?AO???@??G,leaf_degree_two,pendant_path_fold,1697,16854,2216,22244,399604,99901/940138
17,PhCP?C__??_@?A?AO???@_??,PhCP@?__??_@?A?AO???@_??,leaf_degree_two,pendant_path_fold,2015,19957,2634,26347,522467,522467/5307510
17,PhCP?C__??_@?A?AO?C??_??,PhCP@?__??_@?A?AO?C??_??,leaf_degree_two,pendant_path_fold,2654,26491,3473,34981,836331,836331/9217342
17,PhCP?C__??_@?A?C??G?A?C?,PhCP@?__??_@?A?C??G?A?C?,leaf_degree_two,pendant_path_fold,1766,17554,2295,23105,517000,51700/405297
17,PhCP?C__??_@?A?C??G?A_??,PhCP@?__??_@?A?C??G?A_??,leaf_degree_two,pendant_path_fold,1773,17642,2312,23264,458768,57346/512397
17,PhCP?C__??_@?A?C??G?_??C,PhCP@?__??_@?A?C??G?_??C,leaf_degree_two,pendant_path_fold,1600,15697,2079,20663,426737,426737/3326400
